,Date,GRN no.,Roll kg,PTD roll kgs,Wastage in kgs,Viscosity,Req. roll quant,printed film GSM,film rewind tension,machine speed
count,142,142.0,142.0,142.0,141.0,845.0,13.0,142.0,142.0,142.0
mean,2023-09-13 17:54:55.774647808,244.03521126760563,841.0492957746479,388.9507042253521,13.326241134751774,18.151479289940827,783.6923076923077,80.5,100.0,100.0
min,2023-01-02 00:00:00,102.0,280.0,130.0,2.0,17.0,180.0,80.0,100.0,100.0
25%,2023-05-05 06:00:00,144.0,450.0,156.0,9.0,18.0,356.0,80.0,100.0,100.0
50%,2023-09-09 00:00:00,178.0,740.0,258.0,13.0,18.0,703.0,80.0,100.0,100.0
75%,2024-01-16 00:00:00,202.25,970.0,490.0,18.0,19.0,1190.0,80.0,100.0,100.0
max,2024-11-07 00:00:00,908.0,2040.0,1180.0,28.0,20.0,1520.0,86.0,100.0,100.0
std,,192.89998187323044,532.6156162898462,289.89260245295554,5.043378195927107,0.865759022988361,504.09678049216313,1.5193783723279308,0.0,0.0
